GROUP,VOLT_FLAG,SURVEY_ID,SCORE,LTR_COMMENT,PRIMARY_REASON,MONTH,CONNECTION_TIME,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,VOLT_FLAG_BINARY,TREATMENT_BINARY
pilot,yes,353556488,10,"He was professional , came right in time .",Processes/Journeys,2023-03-01,9,10,9,10,10,9,1,1
pilot,yes,354114600,9,,,2023-03-01,10,10,10,10,10,10,1,1
pilot,yes,354186591,10,"In terms of customer service it¬""s been pretty good, however, the icing on the cake was the engineer that setup my company box. His name was Jeremiah. Helpful and kind a real asset to your company. If I could give him a 12 out if 10 I would ðxÜ`","Customer Service,General,TV,TV/Video,UK Legacy",2023-03-01,7,10,9,7,7,7,1,1
pilot,yes,354178667,0,Problem never solved,"Customer Service,Delivery and Installation",2023-03-01,0,0,0,0,0,0,1,1
pilot,yes,354244918,10,,,2023-03-01,9,10,10,9,8,9,1,1
pilot,yes,354241493,10,,,2023-03-01,6,10,9,5,8,10,1,1
pilot,yes,355125760,6,"It took three long frustrating calls to get to agree a new contract. At one point, after speaking with an advisor for 30 mins, was put on hold and the call ended. Took about 2 hours in total.","Automated Phone System,Customer Service,Contract",2023-04-01,9,,5,9,9,3,1,1
pilot,yes,354445919,10,,,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,354187517,10,He did well.,,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,355686471,10,Superb service with a very helpful agent.,"Customer Service,General,UK Legacy",2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,355689036,10,"I had a massive drama with shell energy moving home. I has very bad customer service, I spoke to company and within 2 days had active broadband in my house. Something She¬""ll couldn¬""t do after 3 hrs on the phone","Customer Service,General Services,Processes/Journeys",2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,355748365,9,company Media guy very helpful.,"Customer Service,General,UK Legacy",2023-04-01,9,8,8,9,9,9,1,1
pilot,yes,355746942,10,"Z, who guided me through the process on the phone, was the epitome of empathetic warm professionalism. If all of your customer service personnel are as good as her and your products remain competitive, I see myself becoming a long-term loyal customer.","Brand,Customer Service,General,UK Legacy",2023-04-01,10,8,10,10,10,9,1,1
pilot,yes,355759778,0,"Your internet so crap you get a signal half up the stair when you call to complain you get fobbed off by the staff you¬""ve trained to be robots!! You guys make me want to hang myself you call me every week to up sell me a mobile contract I¬""ve told to stop but you don¬""t. So I¬""ve taken all the numbers and dates of the call to give to ofcom for the harassment!!","Complaints EscalationInternet,Internet",2023-04-01,0,0,0,0,0,0,1,1
pilot,yes,355830455,10,Brilliant customer service,,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,355561967,10,Very helpful from the installation engineer to the whole team,"Customer Service,Installation,Technician",2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,356161132,10,Very friendly adviser,Customer Service,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,355693270,10,Very hardworking and punctual quits who carried out the work,,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,356172387,9,Very polite and informative,"Brand,Changing ProviderUK Legacy,Customer Service",2023-04-01,10,9,9,9,10,9,1,1
pilot,yes,355674595,0,Your a joke wanting £50 from me to talk to someone on the phone,,2023-04-01,2,0,1,2,1,4,1,1
pilot,yes,355801081,10,,,2023-04-01,10,10,7,10,10,10,1,1
pilot,yes,356180879,10,Everything explained well,,2023-04-01,10,5,10,10,10,10,1,1
pilot,yes,3562company842,0,"After placing an order online with free installation and activation the contract sent the next day had a one off charge of £30. In order to get this sorted I called up and after an hour and a half of being lied to by two members of the team I was finally transferred to someone who could have helped in minutes, which he did. Although the contract still has the charge on it. I can't believe that the staff are so badly trained. When I've tried to complain a member of the complaints team tried to convince me not to. I asked to speak to his manager which in fairness he did but the manager came on saying everything was resolved 'I can't understand why you would want to talk to a manager?' Like he was the prime minister and not a supervisor in a call centre! Not sure why I've even bothered recounting this here, not like anyone at company cares.","Sales,Delivery and Installation,Pricing",2023-04-01,0,0,0,0,0,6,1,1
pilot,yes,356693881,10,Very friendly staff. Explained everything in a simple way.,Customer Service,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,356112273,10,,,2023-04-01,7,10,8,7,10,8,1,1
pilot,yes,356112444,9,"Very helpful on the phone, organising everything. Good service, the only thing missed was the PAC code for transferring my number to the new sim",General,2023-04-01,9,8,8,10,10,8,1,1
pilot,yes,355809163,10,Very friendly customer service. Clear explanation of what is included.,Customer Service,2023-04-01,9,8,7,9,10,9,1,1
pilot,yes,356792468,6,Your customer service was so good to me,"Customer Service,General,UK Legacy",2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,356977384,10,,,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,356335600,0,"The network doesn¬""t work in some areas in my apartment",Mobile Service,2023-04-01,7,6,7,7,7,6,1,1
pilot,yes,356469592,10,"Great job, lovely team",Customer Service,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,356898441,10,very efficient and friendly,"Brand,Changing ProviderGeneral,Internet,Internet Service,Pricing,UK Legacy",2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,35742company78,9,Helpful and friendly,"Customer Service,General,UK Legacy",2023-04-01,9,6,9,9,9,9,1,1
pilot,yes,356731872,10,"Initial sale was great. Employee was knowledgeable and explained the process and benefits. I had trouble setting up the device when I received it, and the support staff were extremely helpful and got me up and running. The perfect experience!!!","Customer Service,General,UK Legacy",2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,356745512,5,Interne not working properly,"Contract,Deepdive,Internet,Internet Service,Reliability GeneralUK Legacy",2023-04-01,9,7,6,9,9,4,1,1
pilot,yes,356984966,7,Na,"Customer Service,General,UK Legacy",2023-04-01,5,7,6,4,5,6,1,1
pilot,yes,357045333,10,,,2023-04-01,10,10,10,10,10,10,1,1
pilot,yes,358289522,10,He was very helpful and explained everything I asked him,"Brand,UK Legacy",2023-05-01,10,10,10,10,10,10,1,1
pilot,yes,358350058,10,Fantastic service,General,2023-05-01,,,,,,10,1,1
pilot,yes,358772981,10,,,2023-05-01,10,10,10,10,10,10,1,1
pilot,yes,358784309,0,"I did not sign up for these services. Someone either mis entered or is using my email address. I told your fraud group, but am still getting the emails.",,2023-05-01,,,,,,,1,1
pilot,yes,358655428,10,,,2023-05-01,10,10,10,10,10,10,1,1
pilot,yes,358643128,10,,General,2023-05-01,,,,,,,1,1
pilot,yes,358343818,10,Great service over the phone brilliant package which my previous provider that I had been with for 8y could not even match all round very satisfied,General,2023-05-01,10,10,10,10,10,10,1,1
pilot,yes,358752118,8,,,2023-05-01,8,8,8,8,8,8,1,1
pilot,yes,359295832,10,,,2023-05-01,10,10,,10,10,10,1,1
pilot,yes,359365994,10,"The advisor explained everything to me clearly and in detail.He was helpful,patient and friendly which made me comfortable.","Customer Service,General,UK Legacy",2023-05-01,10,7,10,10,10,8,1,1
pilot,yes,359201255,9,I like the quick response I got in everything,Customer Service,2023-05-01,8,8,8,8,8,6,1,1
pilot,yes,359319468,10,Great service - engineer came out the next day . He was lovely and got me up And running in no time,"Customer Service,Technician",2023-05-01,10,10,10,10,10,8,1,1
pilot,yes,361243832,7,Helpful and informative,,2023-06-01,10,10,5,10,10,8,1,1
pilot,yes,359947966,0,,,2023-06-01,,0,,,,,1,1
